ax,ay,az,label
-4.1841,-0.38025,-4.87705,1
4.1594,1.68795,-2.61905,1
-0.3024,3.4558,-1.88145,3
-0.09415,-0.01175,-0.0362,6
-0.51775,-2.1281,0.73585,2
-3.55305,-2.7906,0.67215,3
-6.71325,-2.6357,8.2761,1
0.1102,2.45525,-2.07055,3
-0.0912,-0.0264,0.0292,6
0.65685,0.2413,-3.34735,1
-0.4873,0.0294,-0.13105,4
-0.11315,-0.07895,0.02625,6
0.01825,-0.03055,-0.0287,4
-3.95205,-1.1445,4.45135,1
-0.02015,-0.03655,0.07465,6
-1.021,2.14485,0.3993,1
2.3112,-7.89955,0.67325,3
0.07215,-0.00475,0.02625,4
